Fecha,Capital Total,Ingreso Pasivo
2025-05,33982860.0,445500.0
2025-06,37880777.0,500000.0
2025-07,38010272.33,589160.0204
2025-08,39470445.05905899,603004.6920833334
2025-09,42049129.88208551,584564.41125
2025-10,43487354.140447274,556975.7000000001
